GRU,0,VDC,0
GYN,0,CGB,0
GYN,0,PMW,0
GYN,0,RAO,0
GYN,0,UDI,0
OPS,0,BSB,0
OPS,0,CGB,0
PLU,0,RAO,0
PMW,0,AUX,0
PMW,0,GYN,0
RAO,0,BSB,0
RAO,0,GIG,0
RAO,0,GRU,0
RAO,0,GYN,0
RAO,0,PLU,0
RAO,0,SJP,0
RAO,0,UDI,0
SJP,0,RAO,0
SSA,0,BRA,0
SSA,0,VDC,0
UBA,0,GRU,0
UBA,0,UDI,0
UDI,0,GRU,0
UDI,0,GYN,0
UDI,0,RAO,0
UDI,0,UBA,0
VDC,0,GRU,0
VDC,0,SSA,0
BRL,0,ORD,0
BRL,0,STL,0
DEC,0,ORD,0
DEC,0,STL,0
JBR,0,STL,0
ORD,0,BRL,0
ORD,0,DEC,0
STL,0,BRL,0
STL,0,DEC,0
STL,0,JBR,0
CGA,0,HYL,0
CGA,0,KTN,0
HYL,0,CGA,0
HYL,0,KTB,0
HYL,0,KTN,0
KTB,0,HYL,0
KTB,0,KTN,0
KTN,0,CGA,0
KTN,0,HYL,0
KTN,0,KTB,0
KTN,0,MTM,0
MTM,0,KTN,0
ACC,0,DKR,0
ACC,0,LOS,0
ACC,0,ROB,0
BCN,0,BJL,0
BJL,0,BCN,0
BJL,0,DKR,0
BJL,0,FNA,0
CKY,0,OXB,0
DKR,0,ACC,0
DKR,0,BJL,0
DKR,0,DLA,0
DKR,0,FNA,0
DKR,0,LOS,0
DKR,0,OXB,0
DLA,0,DKR,0
DLA,0,LOS,0
FNA,0,BJL,0
FNA,0,DKR,0
FNA,0,LGW,0
FNA,0,ROB,0
LGW,0,FNA,0
LOS,0,ACC,0
LOS,0,DKR,0
LOS,0,DLA,0
LOS,0,ROB,0
OXB,0,CKY,0
OXB,0,DKR,0
ROB,0,ACC,0
ROB,0,FNA,0
ROB,0,LOS,0
AKV,0,YIK,0
AKV,0,YPX,0
XGR,0,YVP,0
YGL,0,YGW,0
YGL,0,YPX,0
YGL,0,YUL,0
YGW,0,YGL,0
YGW,0,YPH,0
YGW,0,YSK,0
YGW,0,YUD,0
YGW,0,YUL,0
YGW,0,YUY,0
YIK,0,AKV,0
YIK,0,YZG,0
